<TICKER>,<DTYYYYMMDD>,<CLOSE>
همراه-ت,20200120,14949.57
همراه-ت,20200121,14789.77
همراه-ت,20200122,15383.97
همراه-ت,20200125,15605.30
همراه-ت,20200126,15503.36
همراه-ت,20200127,15338.96
همراه-ت,20200128,15290.29
همراه-ت,20200201,15423.46
همراه-ت,20200202,15160.80
همراه-ت,20200203,15799.08
همراه-ت,20200204,15566.73
همراه-ت,20200205,15552.03
همراه-ت,20200208,15448.25
همراه-ت,20200209,15428.05
همراه-ت,20200210,15027.63
همراه-ت,20200212,15149.78
همراه-ت,20200215,15055.18
همراه-ت,20200216,14969.77
همراه-ت,20200217,14767.73
همراه-ت,20200218,14696.09
همراه-ت,20200219,14862.32
همراه-ت,20200222,14930.28
همراه-ت,20200223,15381.21
همراه-ت,20200224,15105.69
همراه-ت,20200225,15268.25
همراه-ت,20200226,15218.66
همراه-ت,20200229,15023.04
همراه-ت,20200301,15698.06
همراه-ت,20200302,16427.26
همراه-ت,20200303,16671.55
همراه-ت,20200304,16429.09
همراه-ت,20200307,16097.56
همراه-ت,20200309,15358.25
همراه-ت,20200310,15325.19
همراه-ت,20200311,15923.98
همراه-ت,20200314,15645.71
همراه-ت,20200315,15274.68
همراه-ت,20200316,16003.88
همراه-ت,20200317,16513.59
همراه-ت,20200318,16891.96
همراه-ت,20200324,17190.44
همراه-ت,20200325,17723.11
همراه-ت,20200328,18608.44
همراه-ت,20200329,19532.34
همراه-ت,20200330,19725.20
همراه-ت,20200404,20657.37
همراه-ت,20200405,21688.72
همراه-ت,20200406,22647.52
همراه-ت,20200407,22619.97
همراه-ت,20200408,22502.41
همراه-ت,20200411,22691.60
همراه-ت,20200412,22991.00
همراه-ت,20200413,22991.00
همراه-ت,20200414,24243.68
همراه-ت,20200415,24169.29
همراه-ت,20200418,25253.91
همراه-ت,20200419,25849.03
همراه-ت,20200420,26030.87
همراه-ت,20200421,25828.83
همراه-ت,20200422,25001.36
همراه-ت,20200425,25947.30
همراه-ت,20200426,26610.38
همراه-ت,20200427,26681.09
همراه-ت,20200428,27571.93
همراه-ت,20200429,28595.02
همراه-ت,20200502,29998.32
همراه-ت,20200503,31498.05
همراه-ت,20200504,30986.51
همراه-ت,20200505,29829.34
همراه-ت,20200506,29882.60
همراه-ت,20200509,31337.33
همراه-ت,20200510,31958.17
همراه-ت,20200511,30615.48
همراه-ت,20200512,29116.66
همراه-ت,20200513,28229.50
همراه-ت,20200516,26845.48
همراه-ت,20200517,26254.04
همراه-ت,20200518,27510.40
همراه-ت,20200519,28827.37
همراه-ت,20200520,28639.10
همراه-ت,20200523,27253.25
همراه-ت,20200526,26218.87
همراه-ت,20200527,25640.72
همراه-ت,20200530,26705.58
همراه-ت,20200531,27673.47
همراه-ت,20200601,28948.90
همراه-ت,20200602,30394.27
همراه-ت,20200606,31890.43
همراه-ت,20200607,33403.22
همراه-ت,20200608,32531.38
همراه-ت,20200609,31877.50
همراه-ت,20200610,32701.31
همراه-ت,20200613,33460.48
همراه-ت,20200614,33996.14
همراه-ت,20200615,33996.14
همراه-ت,20200616,33996.14
همراه-ت,20200620,33996.14
همراه-ت,20200621,36426.50
همراه-ت,20200622,36532.59
همراه-ت,20200623,38201.05
همراه-ت,20200624,39300.50
همراه-ت,20200627,40988.25
همراه-ت,20200628,42917.11
همراه-ت,20200629,43611.50
همراه-ت,20200630,45791.11
همراه-ت,20200701,48038.23
همراه-ت,20200704,46360.13
همراه-ت,20200705,46639.81
همراه-ت,20200706,48221.48
همراه-ت,20200707,48819.42
همراه-ت,20200708,47893.57
همراه-ت,20200711,45839.34
همراه-ت,20200712,45935.78
همراه-ت,20200713,43669.37
همراه-ت,20200714,41721.22
همراه-ت,20200715,39647.70
همراه-ت,20200718,41451.18
همراه-ت,20200719,43505.42
همراه-ت,20200720,45578.94
همراه-ت,20200721,47556.02
همراه-ت,20200722,49465.59
همراه-ت,20200725,51934.53
همراه-ت,20200726,54509.56
همراه-ت,20200727,56862.76
همراه-ت,20200728,59698.19
همراه-ت,20200729,62495.03
همراه-ت,20200801,65089.35
همراه-ت,20200802,68194.81
همراه-ت,20200803,68194.81
همراه-ت,20200804,68194.81
همراه-ت,20200805,70258.69
همراه-ت,20200809,70258.69
همراه-ت,20200810,67201.45
همراه-ت,20200811,70065.81
همراه-ت,20200812,69246.04
