<TICKER>,<DTYYYYMMDD>,<CLOSE>
شپنا-ت,20200601,8267.75
شپنا-ت,20200602,8680.52
شپنا-ت,20200606,9044.36
شپنا-ت,20200607,9496.41
شپنا-ت,20200608,9968.43
شپنا-ت,20200609,10423.71
شپنا-ت,20200610,10944.67
شپنا-ت,20200613,11488.17
شپنا-ت,20200614,11971.14
شپنا-ت,20200615,11861.66
شپنا-ت,20200616,12190.08
شپنا-ت,20200620,12795.40
شپنا-ت,20200621,12795.40
شپنا-ت,20200622,12795.40
شپنا-ت,20200623,13432.92
شپنا-ت,20200624,14102.63
شپنا-ت,20200627,14804.54
شپنا-ت,20200628,15538.65
شپنا-ت,20200629,16311.40
شپنا-ت,20200630,17122.78
شپنا-ت,20200701,17972.80
شپنا-ت,20200704,18867.90
شپنا-ت,20200705,19808.08
شپنا-ت,20200706,20168.69
شپنا-ت,20200707,20168.69
شپنا-ت,20200708,21147.50
شپنا-ت,20200711,21688.43
شپنا-ت,20200712,22770.27
شپنا-ت,20200713,23903.63
شپنا-ت,20200714,25094.95
شپنا-ت,20200715,24225.61
شپنا-ت,20200718,24225.61
شپنا-ت,20200719,24225.61
شپنا-ت,20200720,28801.27
شپنا-ت,20200721,27473.49
شپنا-ت,20200722,28846.83
شپنا-ت,20200725,30285.27
شپنا-ت,20200726,31417.79
شپنا-ت,20200727,31938.50
شپنا-ت,20200728,32420.14
شپنا-ت,20200729,30799.46
شپنا-ت,20200801,31788.79
شپنا-ت,20200802,32986.41
شپنا-ت,20200803,32107.72
شپنا-ت,20200804,30708.34
شپنا-ت,20200805,31248.57
شپنا-ت,20200809,32810.67
شپنا-ت,20200810,32706.53
شپنا-ت,20200811,31072.83
شپنا-ت,20200812,30278.76
شپنا-ت,20200815,28768.73
شپنا-ت,20200816,27330.29
شپنا-ت,20200817,27330.29
شپنا-ت,20200818,25969.96
شپنا-ت,20200819,24674.72
شپنا-ت,20200822,23991.30
شپنا-ت,20200823,23001.97
شپنا-ت,20200824,21888.97
شپنا-ت,20200825,22806.70
شپنا-ت,20200826,23945.74
شپنا-ت,20200831,24759.33
شپنا-ت,20200901,23711.42
شپنا-ت,20200902,22526.83
شپنا-ت,20200905,22526.83
شپنا-ت,20200906,22526.83
شپنا-ت,20200907,22526.83
شپنا-ت,20200908,22526.83
شپنا-ت,20200909,22526.83
شپنا-ت,20200912,22526.83
شپنا-ت,20200913,22526.83
شپنا-ت,20200914,22526.83
شپنا-ت,20200915,22526.83
شپنا-ت,20200916,22526.83
شپنا-ت,20200919,20880.11
شپنا-ت,20200920,20847.57
شپنا-ت,20200921,19832.20
شپنا-ت,20200922,18901.45
شپنا-ت,20200923,18562.99
شپنا-ت,20200926,18081.34
شپنا-ت,20200927,17456.50
شپنا-ت,20200928,16584.33
شپنا-ت,20200929,15757.71
شپنا-ت,20200930,15171.92
شپنا-ت,20201003,15855.34
شپنا-ت,20201004,16323.98
شپنا-ت,20201005,16323.98
شپنا-ت,20201006,16323.98
شپنا-ت,20201007,16323.98
شپنا-ت,20201010,16323.98
شپنا-ت,20201011,16323.98
شپنا-ت,20201012,18050.46
شپنا-ت,20201013,18952.49
شپنا-ت,20201014,19893.33
شپنا-ت,20201018,19010.69
شپنا-ت,20201019,18060.16
شپنا-ت,20201020,17158.12
شپنا-ت,20201021,16808.94
شپنا-ت,20201024,15974.80
شپنا-ت,20201026,15179.45
شپنا-ت,20201027,14422.91
شپنا-ت,20201028,13705.16
شپنا-ت,20201031,14015.53
شپنا-ت,20201101,13365.68
شپنا-ت,20201102,12706.12
شپنا-ت,20201104,13181.39
شپنا-ت,20201107,13181.39
شپنا-ت,20201108,13181.39
شپنا-ت,20201109,13181.39
شپنا-ت,20201110,13181.39
شپنا-ت,20201111,13181.39
شپنا-ت,20201114,13181.39
شپنا-ت,20201115,12812.82
شپنا-ت,20201116,13258.99
شپنا-ت,20201117,13918.54
شپنا-ت,20201118,14607.19
شپنا-ت,20201121,15334.64
شپنا-ت,20201122,15936.00
شپنا-ت,20201123,16731.35
شپنا-ت,20201124,16770.14
شپنا-ت,20201125,17255.11
شپنا-ت,20201128,17934.06
شپنا-ت,20201129,18001.96
شپنا-ت,20201130,18031.06
شپنا-ت,20201201,18535.42
شپنا-ت,20201202,18137.75
شپنا-ت,20201205,17827.37
شپنا-ت,20201206,18554.82
شپنا-ت,20201207,18147.45
شپنا-ت,20201208,17439.40
شپنا-ت,20201209,16944.73
شپنا-ت,20201212,16954.43
شپنا-ت,20201213,17420.00
شپنا-ت,20201215,16550.00
شپنا-ت,20201216,15740.00
شپنا-ت,20201219,15320.00
شپنا-ت,20201220,14720.00
شپنا-ت,20201221,14310.00
شپنا-ت,20201222,14150.00
شپنا-ت,20201223,13840.00
شپنا-ت,20201226,13220.00
شپنا-ت,20201227,13190.00
شپنا-ت,20201228,13820.00
شپنا-ت,20201229,13320.00
شپنا-ت,20201230,12850.00
شپنا-ت,20210102,12230.00
شپنا-ت,20210103,11900.00
شپنا-ت,20210104,12150.00
شپنا-ت,20210105,11640.00
شپنا-ت,20210106,11100.00
شپنا-ت,20210109,10620.00
شپنا-ت,20210110,11060.00
شپنا-ت,20210111,10760.00
شپنا-ت,20210112,10250.00
شپنا-ت,20210113,9810.00
